,0,1,2,3,4,5,6,7,8,9,10
51,p-hydroxybenzoic acid,10,5.0,10.0,0,0.583969466,0.814885496,0.953107961,1.0,1.0,1.0
52,quinol,10,5.0,10.0,0,0.334472934,0.67977208,0.846723647,0.908831909,0.925925926,0.948717949
53,p-Hydroxybenzaldehyde,10,5.0,10.0,0,0.564290887,0.762387504,0.90488259,0.98044895,0.99627599,1.0
54,p-Hydroxyacetophenone,10,5.0,10.0,0,0.583686246,0.793408212,0.927330756,0.985944884,1.0,1.0
55,p-hydroxyanisole,10,5.0,10.0,0,0.431707317,0.604878049,0.733739837,0.84796748,0.917886179,0.953252033
56,Methyl 4-hydroxybenzoate,10,5.0,10.0,0,0.922222222,1.0,1.0,1.0,1.0,1.0
57,p-Hydroxybenzyl Alcohol,10,5.0,10.0,0,0.484398217,0.676077266,0.821693908,0.896731055,0.927934621,0.946508172
58,4-acetamidophenol,10,5.0,10.0,0,0.380600082,0.530620633,0.660090423,0.754623921,0.826140567,0.876695438
59,p-methylphenol,10,5.0,10.0,0,0.364477743,0.486117232,0.570736007,0.63772587,0.689731159,0.742177171
60,phenol,10,2.5,10.0,0,0.207740916,0.308056872,0.417061611,0.56793049,0.704581359,0.809368088
61,chlorophenol,10,2.5,10.0,0,0.394173603,0.607609988,0.809750297,0.94351962,1.0,1.0
62,nitrophenol,10,2.5,10.0,0,0.411664779,0.551528879,0.648357871,0.75,0.836636467,0.900434126
63,p-hydroxybenzoic acid,10,2.5,10.0,0,0.295927883,0.551134597,0.693814113,0.889648741,0.97295617,1.0
64,quinol,10,2.5,10.0,0,0.114205,0.260513381,0.481157837,0.642271983,0.717094484,0.761878755
65,p-Hydroxybenzaldehyde,10,2.5,10.0,0,0.375958502,0.510205232,0.636896707,0.795275147,0.913622012,0.971865133
66,p-Hydroxyacetophenone,10,2.5,10.0,0,0.349738705,0.494277965,0.626447046,0.776146061,0.888337633,0.953033009
67,p-hydroxyanisole,10,2.5,10.0,0,0.266947368,0.381894737,0.480421053,0.592,0.696421053,0.789052632
68,Methyl 4-hydroxybenzoate,10,2.5,10.0,0,0.747292419,0.866425993,0.916967509,1.0,1.0,1.0
69,p-Hydroxybenzyl Alcohol,10,2.5,10.0,0,0.288824383,0.459361393,0.619738752,0.78011611,0.855587808,0.900580552
70,4-acetamidophenol,10,2.5,10.0,0,0.211080586,0.303571429,0.371794872,0.44047619,0.519230769,0.595695971
71,p-methylphenol,10,2.5,10.0,0,0.215730337,0.291685393,0.342022472,0.383820225,0.41752809,0.453483146
72,phenol,10,2.5,12.5,0,0.209624796,0.341761827,0.456769984,0.636215334,0.783849918,0.873572594
73,chlorophenol,10,2.5,12.5,0,0.361616162,0.605387205,0.826936027,0.958249158,1.0,1.0
74,nitrophenol,10,2.5,12.5,0,0.38831978,0.527299609,0.631745696,0.751821734,0.848347238,0.913296019
75,p-hydroxybenzoic acid,10,2.5,12.5,0,0.145198992,0.31402183,0.609151973,0.809403862,0.974811083,1.0
76,quinol,10,2.5,12.5,0,0.13937,0.348424069,0.528366762,0.72722063,0.794269341,0.824641834
77,p-Hydroxybenzaldehyde,10,2.5,12.5,0,0.37059207,0.512653352,0.654003437,0.826883186,0.942630238,0.986724353
78,p-Hydroxyacetophenone,10,2.5,12.5,0,0.413188018,0.583179108,0.74220303,0.896223182,0.974912605,0.994379327
79,p-hydroxyanisole,10,2.5,12.5,0,0.301393728,0.421167247,0.528310105,0.653310105,0.777874564,0.868902439
